,Unnamed: 0,idtwitter,subj,opos,oneg,iro,lpos,lneg,top,text,Stralci_predetti,Repertori_predetti,Rep Out
0,0,507074506880712705,0,0,0,0,0,0,2,Tra 5 minuti presentazione piano scuola del governo #Renzi. #passodopopasso #labuonascuola Stay tuned,['Tra 5 minuti presentazione piano scuola del governo #Renzi. #passodopopasso #labuonascuola Stay tuned'],['non risposta'],"tensor([[-1.3037, -1.2235,  1.8685, -1.0738, -0.8340, -0.6567,  0.9622,  1.6022,
          2.0353,  1.4639,  0.5963, -1.3991, -1.8778,  2.1621, -0.2574, -1.6154,
          0.2585, -0.1049, -0.7447,  1.3036,  2.1281,  0.0144, -0.9017]])"
1,1,507075789456961536,1,1,0,0,1,0,2,"\@matteorenzi: Alle 10 appuntamento su http://t.co/YphnXknDML #italiariparte #labuonascuola\""  #Grandinsegnanti . #Buonlavoro""","['\\@matteorenzi: Alle 10 appuntamento su http://t.co/YphnXknDML #italiariparte #labuonascuola\\""  #Grandinsegnanti . #Buonlavoro""']",['sancire'],"tensor([[-2.0087, -0.7829,  1.8369, -0.8415, -0.0651,  0.4171,  1.0423,  1.3858,
         -0.4150,  1.5549,  0.8637, -1.1422, -1.5692,  1.7993, -0.2415, -2.2473,
          0.5088, -1.3630, -0.7463,  1.7900,  2.4198,  0.3897, -0.4495]])"
2,2,507077511902425088,1,0,1,0,0,1,2,"#labuonascuola gli #evangelisti #digitali non devono essere già dentro la scuola, esempi; @MarkJayPearson  @ICTEvangelist #nuoveprofessioni","['#labuonascuola gli #evangelisti #digitali non devono essere già dentro la scuola, esempi;', ' @MarkJayPearson  @ICTEvangelist #nuoveprofessioni']","['prescrizione', 'ridimensionamento']","tensor([[-1.6833, -1.3491,  0.7092, -1.0646,  0.6917, -0.2173,  0.6031,  0.4906,
          0.0691,  0.8864,  0.3015, -0.8532, -2.0258,  0.6325,  1.1551, -1.3643,
          2.9757, -1.3590,  1.0695,  0.3238,  2.5450, -0.8167,  0.4212]])"
3,3,507079183315787777,0,0,0,0,0,0,2,Riforma scuola Tutto il discorso di  Renzi su OS http://t.co/ttV4MIvpm3 #labuonascuola #riformascuola,['Riforma scuola Tutto il discorso di  Renzi su OS http://t.co/ttV4MIvpm3 #labuonascuola #riformascuola'],['ridimensionamento'],"tensor([[-1.4369, -0.3930,  1.0464, -0.2374,  0.0759, -0.0271,  0.0568,  1.4643,
         -0.5465,  1.0702,  0.1211, -0.4733, -2.0192,  1.4262, -0.0650, -1.5137,
          0.0791, -1.5202, -1.0900,  3.4744,  2.3645,  0.9896, -0.4938]])"
4,4,507080190225563648,1,0,0,0,0,0,2,.@matteorenzi @MiurSocial #labuonascuola basta supplenti ma anche coraggio nel valutare i prof https://t.co/mnlTnLMzpT,['.@matteorenzi @MiurSocial #labuonascuola basta supplenti ma anche coraggio nel valutare i prof https://t.co/mnlTnLMzpT'],['sancire'],"tensor([[-1.7188, -0.4063,  0.8026, -0.6655,  0.7495,  0.1904,  0.5472,  1.1192,
         -0.5254,  1.2065,  0.5154, -0.6008, -1.9228,  1.2367,  0.2385, -1.6333,
          0.6556, -1.9193, -0.3342,  2.8204,  2.9409, -0.4069, -0.1441]])"
5,5,507080671161233408,1,1,0,0,1,0,2,"\@matteorenzi: Alle 10 appuntamento su http://t.co/Dc3VPWYdK8 #italiariparte #labuonascuola\"" bravo @matteorenzi #avanticosì""","['\\@matteorenzi: Alle 10 appuntamento su http://t.co/Dc3VPWYdK8 #italiariparte #labuonascuola\\"" bravo @matteorenzi #avanticosì""']",['commento'],"tensor([[-2.2412, -0.6734,  2.9615, -0.2832, -0.1937,  0.5300,  0.8249,  0.4969,
         -1.2366,  1.7974,  2.3151, -0.9845, -1.6909,  2.7117,  0.2502, -2.1133,
         -0.6424, -1.8988, -1.2780,  0.7784,  1.9382, -0.3465, -0.3623]])"
6,6,507081184518868992,0,0,0,0,0,0,2,"#labuonascuola Eccolo, il rapporto on line qui http://t.co/U5AXNySoJu","['#labuonascuola Eccolo, il rapporto on line qui http://t.co/U5AXNySoJu']",['descrizione'],"tensor([[-2.0398, -1.1056,  0.5100,  0.2950,  0.7646, -0.6900, -1.0534,  3.4992,
          0.4412,  0.7578, -0.1103, -0.6453, -1.4827,  0.8043, -0.0367, -1.0952,
          0.0344, -1.5693, -0.7048,  2.0981,  2.8470,  0.7835,  0.0066]])"
7,7,507081576661147649,0,0,0,0,0,0,2,@matteorenzi ah no! Ecco il libricino! #labuonascuola http://t.co/angHtPDKp9 http://t.co/bn9aglmgpf,['@matteorenzi ah no! Ecco il libricino! #labuonascuola http://t.co/angHtPDKp9 http://t.co/bn9aglmgpf'],['sancire'],"tensor([[-1.8857, -0.8327,  2.0562, -0.2441,  0.2684,  0.9493,  0.1933,  1.5836,
         -0.8027,  1.4500,  0.2725, -0.3780, -2.0933,  2.4189, -0.2526, -1.2027,
         -0.4643, -1.8910, -1.2748,  1.5963,  2.8306, -0.0197, -0.5523]])"
8,8,507081594923122688,0,0,0,0,0,0,2,"@matteorenzi La buona scuola e' la matematica, la storia, la fisica, la geografia, la chimica, le lingue, arte, biologia, greco.","[""@matteorenzi La buona scuola e' la matematica, la storia, la fisica, la geografia, la chimica, le lingue, arte, biologia, greco.""]",['non risposta'],"tensor([[-1.3228,  0.4713,  1.8550,  0.5190,  0.6248,  0.0247, -0.4114,  0.9208,
         -1.3395,  1.2123,  0.6521,  0.2125, -2.0780,  2.5270, -0.0993, -1.9758,
         -1.5143, -1.9114, -1.4037,  1.1963,  1.7039,  1.4575, -0.5975]])"
9,9,507081959617867776,1,0,1,1,0,1,2,@matteorenzi  Più che la #labuonascuola direi #carascuola visto che ci vogliono più di 800 euro a pischello.quasi quanto 5 kg di gelato,['@matteorenzi  Più che la #labuonascuola direi #carascuola visto che ci vogliono più di 800 euro a pischello.quasi quanto 5 kg di gelato'],['opinione'],"tensor([[-1.5584, -0.5676,  1.2490,  1.6220,  0.7234,  0.0387, -1.5394, -0.4064,
         -1.5687,  0.1457,  1.5412,  0.2035, -0.7996,  0.7796,  2.8043, -0.5529,
         -2.0935, -2.0061, -0.7097, -0.4404,  0.2290, -0.6824,  1.9262]])"
