,idtwitter,subj,opos,oneg,iro,lpos,lneg,top,text,spans,rep,Rep Out
0,507074506880712705,0,0,0,0,0,0,2,Tra 5 minuti presentazione piano scuola del governo #Renzi. #passodopopasso #labuonascuola Stay tuned,['Tra 5 minuti presentazione piano scuola del governo #Renzi. #passodopopasso #labuonascuola Stay tuned'],['non risposta'],"tensor([[-1.9268, -0.6610,  1.0311,  0.7592, -0.7107,  0.7904, -0.2572,  1.2656,
         -1.1023,  1.1115,  0.4143, -0.1151, -1.6921,  1.9520, -0.8493, -1.2090,
         -1.1163, -1.6049, -2.3230,  2.8828,  1.9541,  1.4042, -1.0907]])"
1,507075789456961536,1,1,0,0,1,0,2,"""@matteorenzi: Alle 10 appuntamento su http://t.co/YphnXknDML #italiariparte #labuonascuola""  #Grandinsegnanti ... #Buonlavoro","['""@matteorenzi: Alle 10 appuntamento su http://t.co/YphnXknDML #italiariparte #labuonascuola""  #Grandinsegnanti ... #Buonlavoro']",['non risposta'],"tensor([[-1.9268, -0.6610,  1.0311,  0.7592, -0.7107,  0.7904, -0.2572,  1.2656,
         -1.1023,  1.1115,  0.4143, -0.1151, -1.6921,  1.9520, -0.8493, -1.2090,
         -1.1163, -1.6049, -2.3230,  2.8828,  1.9541,  1.4042, -1.0907]])"
2,507077511902425088,1,0,1,0,0,1,2,"#labuonascuola gli #evangelisti #digitali non devono essere già dentro la scuola, esempi; @MarkJayPearson  @ICTEvangelist #nuoveprofessioni","['#labuonascuola gli #evangelisti #digitali non devono essere già dentro la scuola, esempi;', ' @MarkJayPearson  @ICTEvangelist #nuoveprofessioni']","['prescrizione', 'ridimensionamento']","tensor([[-1.1900, -0.4762, -0.0705,  0.6358, -0.7409,  0.3932, -0.5422,  1.1931,
         -0.7764,  0.2507, -0.1068, -0.2590, -1.1921,  0.7830, -1.2046, -0.5137,
         -0.6042, -1.3661, -1.5964,  3.8403,  1.4140,  2.4647, -1.1002]])"
3,507079183315787777,0,0,0,0,0,0,2,Riforma scuola Tutto il discorso di  Renzi su OS http://t.co/ttV4MIvpm3 #labuonascuola #riformascuola,['Riforma scuola Tutto il discorso di  Renzi su OS http://t.co/ttV4MIvpm3 #labuonascuola #riformascuola'],['non risposta'],"tensor([[-1.9268, -0.6610,  1.0311,  0.7592, -0.7107,  0.7904, -0.2572,  1.2656,
         -1.1023,  1.1115,  0.4143, -0.1151, -1.6921,  1.9520, -0.8493, -1.2090,
         -1.1163, -1.6049, -2.3230,  2.8828,  1.9541,  1.4042, -1.0907]])"
4,507080190225563648,1,0,0,0,0,0,2,.@matteorenzi @MiurSocial #labuonascuola basta supplenti ma anche coraggio nel valutare i prof https://t.co/mnlTnLMzpT,['.@matteorenzi @MiurSocial #labuonascuola basta supplenti ma anche coraggio nel valutare i prof https://t.co/mnlTnLMzpT'],['non risposta'],"tensor([[-1.9268, -0.6610,  1.0311,  0.7592, -0.7107,  0.7904, -0.2572,  1.2656,
         -1.1023,  1.1115,  0.4143, -0.1151, -1.6921,  1.9520, -0.8493, -1.2090,
         -1.1163, -1.6049, -2.3230,  2.8828,  1.9541,  1.4042, -1.0907]])"
5,507080671161233408,1,1,0,0,1,0,2,"""@matteorenzi: Alle 10 appuntamento su http://t.co/Dc3VPWYdK8 #italiariparte #labuonascuola"" bravo @matteorenzi #avanticosì","['""@matteorenzi: Alle 10 appuntamento su http://t.co/Dc3VPWYdK8 #italiariparte #labuonascuola"" bravo @matteorenzi #avanticosì']",['non risposta'],"tensor([[-1.9268, -0.6610,  1.0311,  0.7592, -0.7107,  0.7904, -0.2572,  1.2656,
         -1.1023,  1.1115,  0.4143, -0.1151, -1.6921,  1.9520, -0.8493, -1.2090,
         -1.1163, -1.6049, -2.3230,  2.8828,  1.9541,  1.4042, -1.0907]])"
6,507081184518868992,0,0,0,0,0,0,2,"#labuonascuola Eccolo, il rapporto on line qui http://t.co/U5AXNySoJu","['#labuonascuola Eccolo, il rapporto on line qui http://t.co/U5AXNySoJu']",['ridimensionamento'],"tensor([[-1.1793, -0.2982, -0.1765,  0.5912, -0.7510, -0.1218, -0.3854,  1.1962,
         -0.4467,  0.0122, -0.4273, -0.2480, -1.0580,  0.6934, -1.2976, -0.6389,
         -0.0951, -1.5466, -1.2170,  3.3577,  1.2990,  2.7926, -1.2039]])"
7,507081576661147649,0,0,0,0,0,0,2,@matteorenzi ah no! Ecco il libricino! #labuonascuola http://t.co/angHtPDKp9 http://t.co/bn9aglmgpf,['@matteorenzi ah no! Ecco il libricino! #labuonascuola http://t.co/angHtPDKp9 http://t.co/bn9aglmgpf'],['non risposta'],"tensor([[-1.9268, -0.6610,  1.0311,  0.7592, -0.7107,  0.7904, -0.2572,  1.2656,
         -1.1023,  1.1115,  0.4143, -0.1151, -1.6921,  1.9520, -0.8493, -1.2090,
         -1.1163, -1.6049, -2.3230,  2.8828,  1.9541,  1.4042, -1.0907]])"
8,507081594923122688,0,0,0,0,0,0,2,"@matteorenzi La buona scuola e' la matematica, la storia, la fisica, la geografia, la chimica, le lingue, arte, biologia, greco....","[""@matteorenzi La buona scuola e' la matematica, la storia, la fisica, la geografia, la chimica, le lingue, arte, biologia, greco....""]",['non risposta'],"tensor([[-1.9268, -0.6610,  1.0311,  0.7592, -0.7107,  0.7904, -0.2572,  1.2656,
         -1.1023,  1.1115,  0.4143, -0.1151, -1.6921,  1.9520, -0.8493, -1.2090,
         -1.1163, -1.6049, -2.3230,  2.8828,  1.9541,  1.4042, -1.0907]])"
9,507081959617867776,1,0,1,1,0,1,2,@matteorenzi  Più che la #labuonascuola direi #carascuola visto che ci vogliono più di 800 euro a pischello....quasi quanto 5 kg di gelato,['@matteorenzi  Più che la #labuonascuola direi #carascuola visto che ci vogliono più di 800 euro a pischello....quasi quanto 5 kg di gelato'],['commento'],"tensor([[-0.9198, -0.7834,  0.0657,  1.2247, -0.3497, -0.3632, -0.6118,  2.1117,
         -0.2924,  0.2796, -0.5667, -0.1916, -1.2353,  1.1343, -1.5646, -1.0783,
         -0.7299, -1.1523, -1.7300,  2.0984,  0.8691,  3.7473, -1.1935]])"
